hindi	english
एक्सेर्साइसर सर्वाधिकार © 2006,2007 आईबीएम निगम (बीएसडी) 	accerciser Copyright © 2006, 2007 IBM Corporation (BSD)
नया बीएसडी लाइसेन्स विवरण के लिए देखिए प्रतिलिपीकरण और सूचना फाइलें	The New BSD License See the COPYING and NOTICE files for details.
जाल स्थल	Web site
पसंद जोड़ें... (_ A) 	_ Add Bookmark...
चुने गए एक्सेसेबलों को पुस्तक-चिह्नित करें	Bookmark selected accessible.
पुस्तक चिह्न संपादित करें (_ E)... 	_ Edit Bookmarks...
पुस्तक-चिह्नों को प्रबंधित करें। 	Manage bookmarks.
पुस्तक चिह्नों को संपादित करें... 	Edit Bookmarks...
शीर्षक	Title
अनुप्रयोग	Application
पथ	Path
पुस्तक-चिह्न जोड़ें... 	Add Bookmark...
शीर्षकः	Title:
अनुप्रयोगः	Application:
पथः	Path:
प्लग-इन त्रुटियां	Plugin Errors
दृश्य	View
कोई दृश्य नहीं है	No view
एकल प्लग-इन दृश्य	_ Single plugins view
प्लग-इन दृश्य	Plugin View
प्लग-इन दृश्य (% d) 	Plugin View (% d)
नया दृश्य... 	_ New view...
नया दृश्य... 	New View...
फाइल (F) 	_ File
संपादित करें	_ Edit
पुस्तक-चिह्न संपादित करें (_ E)... 	_ Bookmarks
दृश्य _ (V) 	_ View
मदद	_ Help
पूरा नाम	Full name
कुंजी बंधन	Key binding
विषय प्रकार	Content type
अपने अनुप्रयोग को पहुंचनीयता व्यायाम का लाभ दें	Give your application an accessibility workout
एक्सेर्साइसर पहुंचनीयता अन्वेषक	Accerciser Accessibility Explorer
निचले पटल के लिए डिफोल्ट प्लग-इन खाका	The default plugin layout for the bottom panel
ऊपरी पटल के लिए डिफोल्ट प्लग-इन खाका	The default plugin layout for the top panel
उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है	A list of plugins that are disabled by default
अवधि को हाइलाइट रकें	Highlight duration
पहुंचनीय आसंधि (नोड) को चुनते समय हाइलाइट बक्से की अवधि	The duration of the highlight box when selecting accessible nodes
सीमांत (बोर्डर) के रंग को हाइलाइट करें	Highlight border color
हाइलाइट किए गए सीमांत का रंग और अपारदर्शिता। 	The color and opacity of the highlight border.
भराई के रंग को हाइलाइट करें	Highlight fill color
हाइलाइट किया गया भराई का रंग और पारदर्शिता। 	The color and opacity of the highlight fill.
एपीआई विचरक	API Browser
इस समय जिसे प्राप्त किया गया हो, उसकी विभिन्न विधियों (मेथड) में विचरण करें	Browse the various methods of the current accessible
निजी गुणों को छिपाएं	Hide private attributes
विधि	Method
गुणधर्म	Property
मान	Value
आईपाइथन कन्सोल	IPython Console
इस समय चुने गए एक्सेसेबेल से काम लेने के लिए अंतर्क्रियात्मक कन्सोल	Interactive console for manipulating currently selected accessible
घटना मानिटर	Event monitor
घटनाओं को मानिटर करें (_ M) 	_ Monitor Events
चुनाव को हटाएं (C _) 	C _ lear Selection
सभी	Everything
चुने गए अनुप्रयोग	Selected application
चुने गए एक्सेसेबेल	Selected accessible
स्रोत	Source
घटना मानिटर	Event Monitor
चुने गए प्रकारों और स्रोतों से घटनाएं जैसे-जैसे घटित होती हैं, उन्हें दर्शाता है	Shows events as they occur from selected types and sources
अंतिम प्रविष्ट घटना को हाइलाइट करो	Highlight last event entry
घटना रेकोर्डिंग शुरू करो/रोको	Start / stop event recording
घटना रोजनामचा मिटाओ	Clear event log
कोई विवरण नहीं	(no description)
वर्णन	Description
दिखाएं	Show
पहुंचनीय	_ Accessible
कार्रवाई संपन्न करें	Perform action
कार्रवाई (_ o) 	Acti _ on
आईडी	ID
औजार बक्सा	Toolkit
संस्करण	Version
अनुप्रयोग	Ap _ plication
संग्रह	Col _ lection
0, 0	0, 0
सापेक्ष स्थिति	Relative position
आकार	Size
विडजेट	WIDGET
स्तर	Layer
एमडीआई-जेड-क्रम	MDI - Z - order
अल्फा	Alpha
निरपेक्ष स्थिति	Absolute position
घटक	Co _ mponent
डेस्कटोप	Des _ ktop
स्थान-विशिष्टः	Locale:
प्रलेख	_ Document
हाइपरकड़ी	Hyperlink
हाइपरपाठ	H _ ypertext
स्थिति	Position
वर्णन	Description
स्थान-विशिष्ट	Locale
छवि (_ I) 	_ Image
प्रवेश सहायक	Lo _ gin Helper
सभी चुनें	Select All
चयन (_ S) 	_ Selection
प्रवाहित करनेयोग्य विषयवस्तु	St _ reamable Content
चुने गए स्तंभ	Selected columns
चुनी गई पंक्तियां	Selected rows
स्तंभ	Columns
पंक्तियां	Rows
& lt; bgt; सारणी सूचनाlt;/bgt; 	Table Information
नाम (x, y) 	name (x, y)
शीर्षकः	Header:
विस्तारः	Extents:
पंक्ति	Row
स्तंभ	Column
& lt; bgt; चुनी गई कोशिकाlt;/bgt; 	Selected Cell
सारणी (_ T) 	_ Table
ओफसेट	Offset
डिफोल्टों को शामिल करें	Include defaults
पाठ (_ x) 	Te _ xt
मौजूदा मान	Current value
न्यूनतम वृद्धि	Minimum increment
अधिकतम मान	Maximum value
न्यूनतम मान	Minimum value
मान	Val _ ue
अंतराफलक दर्शक	Interface Viewer
अंतराफलक के विभिन्न गुणों को देखने देता है	Allows viewing of various interface properties
(क्रियान्वित नहीं हुआ है) 	(not implemented)
नाम	Name
यूआरआई	URI
प्रारंभ	Start
अंत	End
बहुत अधिक चयनीय शिशु हैं	Too many selectable children
तेज चुनाव	Quick Select
प्लग-इन जिसमें हैं एक्सेसेबेलों को तेजी से चुनने के लिए कई विधियां	Plugin with various methods of selecting accessibles quickly.
अंतिम बार फोकस किए गए एक्सेसेबल को जांचें	Inspect last focused accessible
माउस के अधीन जो एक्सेसेबल है, उसे जांचें	Inspect accessible under mouse
वतनी	Native
श्वानपुच्छ	Dogtail
एलडीटीपी	LDTP
लिपि प्रकार	Script Type
लिपि रेकोर्डर	Script Recorder
श्वानपुच्छ शैली की लिपियां निर्मित करता है	Creates dogtail style scripts
वर्तमान लिपि (स्क्रिप्ट) खो जाएगी। 	The current script will be lost.
मिटाने की पुष्टि करें	Confirm clear
स्कीमाः	Sche _ ma:
सत्यापन	V _ alidate
खाली	Idle
कोई विवरण नहीं	No description
एटी-एसपीआई सत्यापक	AT - SPI Validator
अनुप्रयोग की पहुंचनीयता का सत्यापन करता है	Validates application accessibility
स्तर	Level
भूमिका	Role
सहेज रहे हैं	Saving
पुष्टि कर रहे हैं	Validating
अपवाद	EXCEPT
त्रुटि	ERROR
चेतावनी	WARN
सूचना	INFO
दोषमुक्त करें	DEBUG
मूल	Basic
मूलभूत जीयूआई अनुप्रयोग पहुंचनीयता का परीक्षण करता है	Tests fundamental GUI application accessibility
% s जिस पर कार्रवाई हो सकती है, वह न तो फोकस करने योग्य है न ही चयनीय	actionable% s is not focusable or selectable
अंतर्क्रियात्मक% s कार्रवाई करने योग्य नहीं है	interactive% s is not actionable
एक से अधिक विडजेट फोकस में है	more than one focused widget
% s का कोई पाठ अंतराफलक नहीं है	% s has no text interface
अभिभावक में% s सूची शिशु सूची सेमेल नहीं खाती	% s index in parent does not match child index
% s संबंध के लिए अन्योन्य गायब है	Missing reciprocal for% s relation
% s गायब नाम या सूचक	% s missing name or label
फोकस योग्य% s में सारणी अंतराफलक है, कोई चयनीय अंतराफलक नहीं हैbutton has focused state without focusable state	focusable% s has table interface, no selection interface
% s में% s स्थिति है, पर उसके साथ% s स्थिति नहीं है	% s has% s state without% s state
% s किसी समुच्चय का सदस्य नहीं है	% s does not belong to a set
% (rolename) s सूची% (num) d पंक्ति और स्तंभ से मेल नहीं खातेparent indexrow and column index	% (rolename) s index% (num) d does not match row and column
% (rolename) s अभिभावक सूची% (num1) d पंक्ति और स्तंभ सूची% (num2) d से मेल नहीं खाते	% (rolename) s parent index% (num1) d does not match row and column index% (num2) d
% s का कोई नाम या विवरण नहीं	% s has no name or description
पसंद (_ P)... 	_ Preferences...
विषय सूची (_ C) 	_ Contents
एक्सेरसाइसर आपके डेस्कटोप में मौजूद अनुप्रयोग नहीं देख पाया। इस समस्या के समाधान के लिए आपको डेस्कटोप पहुंचनीयता को सक्रिय करना होगा। क्या आप इसे सक्रिय करना चाहते हैं? 	Accerciser could not see the applications on your desktop. You must enable desktop accessibility to fix this problem. Do you want to enable it now?
टिप्पणीः परिवर्तन सत्रांत (लोगआउट) के बाद ही प्रभाव में आएंगे। 	Note: Changes only take effect after logout.
शिशु	Children
पंजी ताजा करें (_ R) 	_ Refresh Registry
सभी को ताजा करें	Refresh all
आसंधि (नोड) को ताजा करें (_ N) 	Refresh _ Node
चुनी गई आसंधियों (नोड) के शिशुओं को ताजा करें	Refresh selected node 's children
घटक	Component
कार्य	Task
कुंजी	Key
आल्ट	Alt
कंट्रोल	Ctrl
शिफ्ट	Shift
ऊपरी पटल	Top panel
निचला पटल	Bottom panel
एक्सेर्साइसर पसंद	accerciser Preferences
प्लगइन्स	Plugins
सार्वत्रिक फटाफट कुंजियां	Global Hotkeys
हाइलाइटन	Highlighting
हाइलाइट अवधिः	Highlight duration:
सीमांत रंगः	Border color:
हाइलाइट बक्से का सीमांत रंग	The border color of the highlight box
भराई का रंगः	Fill color:
हाइलाइट बक्से का भराई रंग	The fill color of the highlight box
रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) ल. बालसुब्रमण्यम (l. balasubramaniam @gmail. com) 	translator - credits
एक अंतर्क्रियात्मक पाइथन पहुंचनीयता अन्वेषक	An interactive Python accessibility explorer
एक्सेर्साइसर सर्वाधिकार © 2006,2007 आईबीएम निगम (बीएसडी) 	accerciser Copyright © 2006, 2007 IBM Corporation (BSD)
नया बीएसडी लाइसेन्स विवरण के लिए देखिए प्रतिलिपीकरण और सूचना फाइलें	The New BSD License See the COPYING and NOTICE files for details.
जाल स्थल	Web site
पसंद जोड़ें... (_ A) 	_ Add Bookmark...
चुने गए एक्सेसेबलों को पुस्तक-चिह्नित करें	Bookmark selected accessible.
पुस्तक चिह्न संपादित करें (_ E)... 	_ Edit Bookmarks...
पुस्तक-चिह्नों को प्रबंधित करें। 	Manage bookmarks.
पुस्तक चिह्नों को संपादित करें... 	Edit Bookmarks...
शीर्षक	Title
अनुप्रयोग	Application
पथ	Path
पुस्तक-चिह्न जोड़ें... 	Add Bookmark...
शीर्षकः	Title:
अनुप्रयोगः	Application:
पथः	Path:
प्लग-इन त्रुटियां	Plugin Errors
दृश्य	View
कोई दृश्य नहीं है	No view
एकल प्लग-इन दृश्य	_ Single plugins view
प्लग-इन दृश्य	Plugin View
प्लग-इन दृश्य (% d) 	Plugin View (% d)
नया दृश्य... 	_ New view...
नया दृश्य... 	New View...
फाइल (F) 	_ File
संपादित करें	_ Edit
पुस्तक-चिह्न संपादित करें (_ E)... 	_ Bookmarks
दृश्य _ (V) 	_ View
मदद	_ Help
पूरा नाम	Full name
कुंजी बंधन	Key binding
विषय प्रकार	Content type
एक्सेर्साइसर	Accerciser
अपने अनुप्रयोग को पहुंचनीयता व्यायाम का लाभ दें	Give your application an accessibility workout
एक्सेर्साइसर पहुंचनीयता अन्वेषक	Accerciser Accessibility Explorer
उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है	A list of plugins that are disabled by default
उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है	A list of plugins that are disabled by default.
अवधि को हाइलाइट रकें	Highlight duration
पहुंचनीय आसंधि नोड को चुनते समय हाइलाइट बक्से की अवधि. 	The duration of the highlight box when selecting accessible nodes.
भराई के रंग को हाइलाइट करें	Highlight fill color
हाइलाइट किया गया भराई का रंग और पारदर्शिता। 	The color and opacity of the highlight fill.
सीमांत (बोर्डर) के रंग को हाइलाइट करें	Highlight border color
हाइलाइट किए गए सीमांत का रंग और अपारदर्शिता। 	The color and opacity of the highlight border.
नीचे के पैनल के लिए लेआउट	The layout for the bottom panel
नीचे पैनल pluginview के लिए लेआउट. 	The layout for the bottom panel pluginview.
ऊपरी पटल के लिए खाका	The layout for the top panel
शीर्ष पैनल pluginview के लिए लेआउट. 	The layout for the top panel pluginview.
एकल लेआउट दृश्य	Single layout view
नई pluginviews उपलब्ध है	Available new pluginviews
ऊपरी पटल के लिए डिफोल्ट प्लग-इन खाका. 	The default plugin layout for the top panel.
एपीआई विचरक	API Browser
इस समय जिसे प्राप्त किया गया हो, उसकी विभिन्न विधियों (मेथड) में विचरण करें	Browse the various methods of the current accessible
निजी गुणों को छिपाएं	Hide private attributes
विधि	Method
गुणधर्म	Property
मान	Value
आईपाइथन कन्सोल	IPython Console
इस समय चुने गए एक्सेसेबेल से काम लेने के लिए अंतर्क्रियात्मक कन्सोल	Interactive console for manipulating currently selected accessible
घटना मानिटर	Event monitor
घटनाओं को मानिटर करें (_ M) 	_ Monitor Events
चुनाव को हटाएं (C _) 	C _ lear Selection
सभी	Everything
चुने गए अनुप्रयोग	Selected application
चुने गए एक्सेसेबेल	Selected accessible
स्रोत	Source
घटना मानिटर	Event Monitor
चुने गए प्रकारों और स्रोतों से घटनाएं जैसे-जैसे घटित होती हैं, उन्हें दर्शाता है	Shows events as they occur from selected types and sources
अंतिम प्रविष्ट घटना को हाइलाइट करो	Highlight last event entry
घटना रेकोर्डिंग शुरू करो/रोको	Start / stop event recording
घटना रोजनामचा मिटाओ	Clear event log
बाल गणना	Child count
वर्णन	Description
राज्य	States
गुणधर्म	Attributes
दिखाएं	Show
संबंध	Relations
पहुंचनीय	_ Accessible
कार्रवाई संपन्न करें	Perform action
कार्रवाई (_ o) 	Acti _ on
आईडी	ID
औजार बक्सा	Toolkit
संस्करण	Version
अनुप्रयोग	Ap _ plication
संग्रह	Col _ lection
0, 0	0, 0
सापेक्ष स्थिति	Relative position
आकार	Size
विडजेट	WIDGET
स्तर	Layer
एमडीआई-जेड-क्रम	MDI - Z - order
अल्फा	Alpha
निरपेक्ष स्थिति	Absolute position
घटक	Co _ mponent
डेस्कटोप	Des _ ktop
स्थान-विशिष्टः	Locale:
प्रलेख	_ Document
हाइपरकड़ी	Hyperlink
हाइपरपाठ	H _ ypertext
स्थिति	Position
स्थान-विशिष्ट	Locale
छवि (_ I) 	_ Image
प्रवेश सहायक	Lo _ gin Helper
सभी चुनें	Select All
चयन (_ S) 	_ Selection
प्रवाहित करनेयोग्य विषयवस्तु	St _ reamable Content
शीर्षकः	Caption:
सारांशः	Summary:
चुने गए स्तंभ	Selected columns
चुनी गई पंक्तियां	Selected rows
स्तंभ	Columns
पंक्तियां	Rows
सारणी सूचना	Table Information
नाम (x, y) 	name (x, y)
शीर्षकः	Header:
विस्तारः	Extents:
पंक्ति	Row
स्तंभ	Column
चुनी गई कोशिका	Selected Cell
सारणी (_ T) 	_ Table
ओफसेट	Offset
डिफोल्टों को शामिल करें	Include defaults
प्रारंभ	Start: 0
अंतः 0	End: 0
पाठ (_ x) 	Te _ xt
मौजूदा मान	Current value
न्यूनतम वृद्धि	Minimum increment
अधिकतम मान	Maximum value
न्यूनतम मान	Minimum value
मान	Val _ ue
अज्ञात	unknown
अंतराफलक दर्शक	Interface Viewer
अंतराफलक के विभिन्न गुणों को देखने देता है	Allows viewing of various interface properties
(क्रियान्वित नहीं हुआ है) 	(not implemented)
नाम	Name
यूआरआई	URI
प्रारंभ	Start
अंत	End
बहुत अधिक चयनीय शिशु हैं	Too many selectable children
(संशोधनीय) Start	(Editable)
प्रारंभEnd	Start:% d
तेज चुनाव	Quick Select
प्लग-इन जिसमें हैं एक्सेसेबेलों को तेजी से चुनने के लिए कई विधियां	Plugin with various methods of selecting accessibles quickly.
अंतिम बार फोकस किए गए एक्सेसेबल को जांचें	Inspect last focused accessible
माउस के अधीन जो एक्सेसेबल है, उसे जांचें	Inspect accessible under mouse
स्कीमाः	Sche _ ma:
सत्यापन	V _ alidate
खाली	Idle
कोई विवरण नहीं	No description
एटी-एसपीआई सत्यापक	AT - SPI Validator
अनुप्रयोग की पहुंचनीयता का सत्यापन करता है	Validates application accessibility
स्तर	Level
भूमिका	Role
सहेज रहे हैं	Saving
पुष्टि कर रहे हैं	Validating
अपवाद	EXCEPT
त्रुटि	ERROR
चेतावनी	WARN
सूचना	INFO
दोषमुक्त करें	DEBUG
मूल	Basic
मूलभूत जीयूआई अनुप्रयोग पहुंचनीयता का परीक्षण करता है	Tests fundamental GUI application accessibility
% s जिस पर कार्रवाई हो सकती है, वह न तो फोकस करने योग्य है न ही चयनीय	actionable% s is not focusable or selectable
अंतर्क्रियात्मक% s कार्रवाई करने योग्य नहीं है	interactive% s is not actionable
एक से अधिक विडजेट फोकस में है	more than one focused widget
% s का कोई पाठ अंतराफलक नहीं है	% s has no text interface
अभिभावक में% s सूची शिशु सूची सेमेल नहीं खाती	% s index in parent does not match child index
% s संबंध के लिए अन्योन्य गायब है	Missing reciprocal for% s relation
% s गायब नाम या सूचक	% s missing name or label
फोकस योग्य% s में सारणी अंतराफलक है, लेकिन कोई चयनीय अंतराफलक नहीं हैbutton has focused state without focusable state	focusable% s has a table interface, but not a selection interface
% s में% s स्थिति है, पर उसके साथ% s स्थिति नहीं है	% s has% s state without% s state
% s किसी समुच्चय का सदस्य नहीं है	% s does not belong to a set
% (rolename) s सूची% (num) d पंक्ति और स्तंभ से मेल नहीं खातेparent indexrow and column index	% (rolename) s index% (num) d does not match row and column
% (rolename) s अभिभावक सूची% (num1) d पंक्ति और स्तंभ सूची% (num2) d से मेल नहीं खाते	% (rolename) s parent index% (num1) d does not match row and column index% (num2) d
% s का कोई नाम या विवरण नहीं	% s has no name or description
पसंद (_ P)... 	_ Preferences...
विषय सूची (_ C) 	_ Contents
<dead> 	< dead >
शिशु	Children
बच्चों के बिना अनुप्रयोग छिपाएँ/दिखाएँ (_ H) 	_ Hide / Show Applications without children
पंजी ताजा करें (_ R) 	_ Refresh Registry
सभी को ताजा करें	Refresh all
आसंधि (नोड) को ताजा करें (_ N) 	Refresh _ Node
चुनी गई आसंधियों (नोड) के शिशुओं को ताजा करें	Refresh selected node 's children
घटक	Component
कार्य	Task
कुंजी	Key
आल्ट	Alt
कंट्रोल	Ctrl
शिफ्ट	Shift
ऊपरी पटल	Top panel
निचला पटल	Bottom panel
एक्सेर्साइसर पसंद	accerciser Preferences
प्लगइन्स	Plugins
सार्वत्रिक फटाफट कुंजियां	Global Hotkeys
हाइलाइटन	Highlighting
हाइलाइट अवधिः	Highlight duration:
सीमांत रंगः	Border color:
हाइलाइट बक्से का सीमांत रंग	The border color of the highlight box
भराई का रंगः	Fill color:
हाइलाइट बक्से का भराई रंग	The fill color of the highlight box
रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) ल. बालसुब्रमण्यम (l. balasubramaniam @gmail. com) 	translator - credits
एक अंतर्क्रियात्मक पाइथन पहुंचनीयता अन्वेषक	An interactive Python accessibility explorer
एक्सेर्साइसर सर्वाधिकार (c) 2006,2007 आईबीएम निगम (बीएसडी) 	accerciser Copyright (c) 2006, 2007 IBM Corporation (BSD)
नया बीएसडी लाइसेन्स विवरण के लिए देखिए प्रतिलिपीकरण और सूचना फाइलें	The New BSD License See the COPYING and NOTICE files for details.
जाल स्थल	Web site
पसंद जोड़ें... (_ A) 	_ Add Bookmark...
चुने गए एक्सेसेबलों को पुस्तक-चिह्नित करें	Bookmark selected accessible.
पुस्तक चिह्न संपादित करें (_ E)... 	_ Edit Bookmarks...
पुस्तक-चिह्नों को प्रबंधित करें। 	Manage bookmarks.
पुस्तक चिह्नों को संपादित करें... 	Edit Bookmarks...
शीर्षक	Title
अनुप्रयोग	Application
पथ	Path
पुस्तक-चिह्न जोड़ें... 	Add Bookmark...
शीर्षकः	Title:
अनुप्रयोगः	Application:
पथः	Path:
